date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:49	26464/26464	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202023%2012:05:41%20GMT	https://dexico.templatekit.co/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://dexico.templatekit.co/)
10:51:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:50%20GMT	https://dexico.templatekit.co/template-kit/home-company	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-company	(from https://dexico.templatekit.co/)
10:51:50	166242/166242	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:46%20GMT	https://dexico.templatekit.co/template-kit/home-company/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-company/index.html	(from https://dexico.templatekit.co/)
10:51:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:51%20GMT	https://dexico.templatekit.co/template-kit/home-grid	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-grid	(from https://dexico.templatekit.co/)
10:51:51	185260/185260	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:52%20GMT	https://dexico.templatekit.co/template-kit/home-grid/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-grid/index.html	(from https://dexico.templatekit.co/)
10:51:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:52%20GMT	https://dexico.templatekit.co/template-kit/home-4	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-4	(from https://dexico.templatekit.co/)
10:51:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:52%20GMT	https://dexico.templatekit.co/template-kit/propertys-style-1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/propertys-style-1	(from https://dexico.templatekit.co/)
10:51:52	209788/209788	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:48%20GMT	https://dexico.templatekit.co/template-kit/home-4/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/home-4/index.html	(from https://dexico.templatekit.co/)
10:51:52	222853/222853	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:51%20GMT	https://dexico.templatekit.co/template-kit/propertys-style-1/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/propertys-style-1/index.html	(from https://dexico.templatekit.co/)
10:51:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:54%20GMT	https://dexico.templatekit.co/template-kit/propertys-list	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/propertys-list.26.delayed	(from https://dexico.templatekit.co/)
10:51:54	155400/155400	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:53%20GMT	https://dexico.templatekit.co/template-kit/propertys-list/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/propertys-list/index.html	(from https://dexico.templatekit.co/)
10:51:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:55%20GMT	https://dexico.templatekit.co/template-kit/property_details1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/property_details1	(from https://dexico.templatekit.co/)
10:51:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Nov%202023%2003:51:56%20GMT	https://dexico.templatekit.co/template-kit/property_details2	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/property_details2	(from https://dexico.templatekit.co/)
10:51:55	187301/187301	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:47%20GMT	https://dexico.templatekit.co/template-kit/property_details1/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/property_details1/index.html	(from https://dexico.templatekit.co/)
10:51:55	118134/118134	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2022:04:49%20GMT	https://dexico.templatekit.co/template-kit/property_details2/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/template-kit/property_details2/index.html	(from https://dexico.templatekit.co/)
